school,suburb,state,postcode,score,schoolType,educationLevel
Chatswood High School,CHATSWOOD,NSW,2067,99,Government,secondary
"Glenaeon Rudolf Steiner School, Castlecrag",CASTLECRAG,NSW,2068,,Private,primary
Castlecrag Montessori School,CASTLECRAG,NSW,2068,,Private,secondary
Glenaeon Rudolf Steiner School,MIDDLE COVE,NSW,2068,94,Private,secondary
Castlecrag Montessori School,CASTLECRAG,NSW,2068,,Private,primary
Glenaeon Rudolf Steiner School,MIDDLE COVE,NSW,2068,,Private,primary
St Thomas' Catholic Primary School,WILLOUGHBY,NSW,2068,,Catholic,primary
Willoughby Girls High School,WILLOUGHBY,NSW,2068,97,Government,secondary
Willoughby Public School,WILLOUGHBY,NSW,2068,,Government,primary
Castle Cove Public School,CASTLE COVE,NSW,2069,98,Government,primary
Roseville College,ROSEVILLE,NSW,2069,PNO,Private,secondary
Roseville College,ROSEVILLE,NSW,2069,,Private,primary
Roseville Public School,ROSEVILLE,NSW,2069,,Government,primary
Newington College - Lindfield Preparatory School,LINDFIELD,NSW,2070,,Private,primary
Holy Family Catholic Primary School,LINDFIELD,NSW,2070,99,Catholic,primary
Highfields Preparatory and Kindergarten School,LINDFIELD,NSW,2070,,Private,primary
Lindfield East Public School,EAST LINDFIELD,NSW,2070,,Government,primary
Cromehurst School,LINDFIELD,NSW,2070,,Government,secondary
Lindfield Learning Village,LINDFIELD,NSW,2070,95,Government,secondary
Cromehurst School,LINDFIELD,NSW,2070,,Government,primary
Lindfield Public School,LINDFIELD,NSW,2070,99,Government,primary
Lindfield Learning Village,LINDFIELD,NSW,2070,,Government,primary
Killara High School,KILLARA,NSW,2071,98,Government,secondary
Beaumont Road Public School,KILLARA,NSW,2071,,Government,primary
Killara Public School,KILLARA,NSW,2071,99,Government,primary
"Ravenswood School for Girls, Boarding House",GORDON,NSW,2072,,Private,primary
Gordon East Public School,GORDON,NSW,2072,99,Government,primary
Ravenswood School for Girls,GORDON,NSW,2072,100,Private,primary
"Ravenswood School for Girls, Boarding House",GORDON,NSW,2072,,Private,secondary
Ravenswood School for Girls,GORDON,NSW,2072,97,Private,secondary
Pymble Ladies' College,PYMBLE,NSW,2073,99,Private,secondary
West Pymble Public School,WEST PYMBLE,NSW,2073,99,Government,primary
Northside Montessori School,PYMBLE,NSW,2073,,Private,primary
Our Lady of Perpetual Succour Catholic Primary School,WEST PYMBLE,NSW,2073,,Catholic,primary
Gordon West Public School,PYMBLE,NSW,2073,98,Government,primary
Northside Montessori School,PYMBLE,NSW,2073,,Private,secondary
Sacred Heart Catholic Primary School,PYMBLE,NSW,2073,,Catholic,primary
Pymble Ladies' College,PYMBLE,NSW,2073,100,Private,primary
Pymble Public School,PYMBLE,NSW,2073,98,Government,primary
Warrawee Public School,TURRAMURRA,NSW,2074,98,Government,primary
Turramurra High School,SOUTH TURRAMURRA,NSW,2074,94,Government,secondary
Gibberagong Environmental Education Centre,NORTH TURRAMURRA,NSW,2074,,Government,secondary
Gibberagong Environmental Education Centre,NORTH TURRAMURRA,NSW,2074,,Government,primary
Turramurra Public School,TURRAMURRA,NSW,2074,98,Government,primary
Turramurra North Public School,NORTH TURRAMURRA,NSW,2074,97,Government,primary
Ku-ring-gai High School,NORTH TURRAMURRA,NSW,2074,,Government,secondary
Corpus Christi Catholic Primary School,ST IVES,NSW,2075,,Catholic,primary
St Ives North Public School,ST IVES,NSW,2075,100,Government,primary
St Ives Public School,ST IVES,NSW,2075,98,Government,primary
St Ives Park Public School,ST IVES,NSW,2075,,Government,primary
Sir Eric Woodward Memorial School,ST IVES,NSW,2075,,Government,primary
Brigidine College St Ives,ST IVES,NSW,2075,95,Private,secondary
Sydney Grammar School - St Ives Preparatory School,ST IVES,NSW,2075,,Private,primary
Sir Eric Woodward Memorial School,ST IVES,NSW,2075,,Government,secondary
St Ives High School,ST IVES,NSW,2075,96,Government,secondary
Masada College,ST IVES,NSW,2075,97,Private,secondary
Masada College,ST IVES,NSW,2075,98,Private,primary
"Aspect Vern Barnett School, St Ives",ST IVES,NSW,2075,,Private,primary
Knox Grammar School - Wahroonga Preparatory Campus,WAHROONGA,NSW,2076,,Private,primary
Abbotsleigh Junior School,WAHROONGA,NSW,2076,,Private,primary
Wahroonga Adventist School,WAHROONGA,NSW,2076,96,Private,secondary
Wahroonga Adventist School,WAHROONGA,NSW,2076,99,Private,primary
Knox Grammar Preparatory School,WAHROONGA,NSW,2076,,Private,primary
Abbotsleigh,WAHROONGA,NSW,2076,99,Private,secondary
Abbotsleigh,WAHROONGA,NSW,2076,100,Private,primary
St Lucy's School,WAHROONGA,NSW,2076,,Private,primary
St Leo's Catholic College,WAHROONGA,NSW,2076,,Catholic,secondary
Prouille Catholic Primary School,WAHROONGA,NSW,2076,,Catholic,primary
"St Lucy's, Prouille Catholic Primary campus",WAHROONGA,NSW,2076,,Private,primary
Knox Grammar School,WAHROONGA,NSW,2076,99,Private,secondary
Wahroonga Public School,WAHROONGA,NSW,2076,98,Government,primary
Waitara Public School,WAHROONGA,NSW,2076,,Government,primary
St Lucy's School,WAHROONGA,NSW,2076,,Private,secondary
St Edmund's College,WAHROONGA,NSW,2076,,Private,secondary
Knox Grammar School,WAHROONGA,NSW,2076,100,Private,primary
Normanhurst Public School,NORMANHURST,NSW,2076,98,Government,primary
Normanhurst Boys High School,NORMANHURST,NSW,2076,100,Government,secondary
Broken Bay Cross Campus Course Centre,WAHROONGA,NSW,2076,,Catholic,secondary
Loreto Normanhurst,NORMANHURST,NSW,2076,,Private,primary
Loreto Normanhurst,NORMANHURST,NSW,2076,96,Private,secondary
Our Lady of the Rosary Catholic Primary School,WAITARA,NSW,2077,97,Catholic,primary
Asquith Girls High School,ASQUITH,NSW,2077,,Government,secondary
Asquith Public School,ASQUITH,NSW,2077,,Government,primary
Barker College,HORNSBY,NSW,2077,98,Private,secondary
Hornsby Girls High School,HORNSBY,NSW,2077,100,Government,secondary
Clarke Road School,HORNSBY,NSW,2077,,Government,secondary
Clarke Road School,HORNSBY,NSW,2077,,Government,primary
Hornsby South Public School,HORNSBY,NSW,2077,,Government,primary
Hornsby North Public School,HORNSBY,NSW,2077,,Government,primary
Asquith Boys High School,ASQUITH,NSW,2077,,Government,secondary
Hornsby Heights Public School,HORNSBY,NSW,2077,,Government,primary
St Patrick's Catholic Primary School,ASQUITH,NSW,2077,,Catholic,primary
Barker College Junior School,WAITARA,NSW,2077,,Private,primary
Mount Colah Public School,MOUNT COLAH,NSW,2079,,Government,primary
Mount Kuring-gai Public School,MOUNT KURING GAI,NSW,2080,,Government,primary
Berowra Christian School,BEROWRA,NSW,2081,,Private,primary
Berowra Public School,BEROWRA,NSW,2081,,Government,primary
Cowan Public School,COWAN,NSW,2081,,Government,primary
St Bernard's Catholic Primary School,BEROWRA HEIGHTS,NSW,2082,,Catholic,primary
Wideview Public School,BEROWRA HEIGHTS,NSW,2082,,Government,primary
Brooklyn Public School,BROOKLYN,NSW,2083,,Government,primary
German International School Sydney,TERREY HILLS,NSW,2084,,Private,secondary
Terrey Hills Public School,TERREY HILLS,NSW,2084,,Government,primary
A.G.B.U. Alexander Primary School,DUFFYS FOREST,NSW,2084,,Private,primary
Mosman Preparatory School Outdoor Education Centre,TERREY HILLS,NSW,2084,,Private,primary
Northern Beaches Christian School,TERREY HILLS,NSW,2084,PNO,Private,secondary
Northern Beaches Christian School,TERREY HILLS,NSW,2084,,Private,primary
German International School Sydney,TERREY HILLS,NSW,2084,,Private,primary
Sydney Japanese International School,TERREY HILLS,NSW,2084,98,Private,primary
Kinma School,TERREY HILLS,NSW,2084,,Private,primary
St Martin's Catholic Primary School,DAVIDSON,NSW,2085,,Catholic,primary
Kambora Public School,DAVIDSON,NSW,2085,,Government,primary
Covenant Christian School,BELROSE,NSW,2085,PNO,Private,secondary
Belrose Public School,BELROSE,NSW,2085,,Government,primary
Wakehurst Public School,BELROSE,NSW,2085,,Government,primary
Covenant Christian School,BELROSE,NSW,2085,,Private,primary
Kamaroi Rudolf Steiner School,BELROSE,NSW,2085,,Private,primary
Yanginanook School,BELROSE,NSW,2085,,Private,primary
Yanginanook School,BELROSE,NSW,2085,,Private,secondary
John Colet School,BELROSE,NSW,2085,100,Private,primary
Arranounbai School,FRENCHS FOREST,NSW,2086,,Government,primary
Arranounbai School,FRENCHS FOREST,NSW,2086,,Government,secondary
Mimosa Public School,FRENCHS FOREST,NSW,2086,,Government,primary
Frenchs Forest Public School,FRENCHS FOREST,NSW,2086,,Government,primary
The Forest High School,FRENCHS FOREST,NSW,2086,,Government,secondary
Davidson High School,FRENCHS FOREST,NSW,2086,,Government,secondary
Aspect Vern Barnett School,FORESTVILLE,NSW,2087,,Private,primary
Our Lady of Good Counsel Catholic Primary School,FORESTVILLE,NSW,2087,,Catholic,primary
Killarney Heights High School,KILLARNEY HEIGHTS,NSW,2087,95,Government,secondary
Aspect Vern Barnett School,FORESTVILLE,NSW,2087,,Private,secondary
Forestville Public School,FORESTVILLE,NSW,2087,,Government,primary
Killarney Heights Public School,KILLARNEY HEIGHTS,NSW,2087,,Government,primary
Forestville Montessori School,FORESTVILLE,NSW,2087,,Private,primary
"Aspect Vern Barnett School, Forestville",FORESTVILLE,NSW,2087,,Private,primary
High School Campus for Yanginanook School,FORESTVILLE,NSW,2087,,Private,secondary
Sacred Heart Catholic Primary School,MOSMAN,NSW,2088,97,Catholic,primary
Mosman High School,MOSMAN,NSW,2088,94,Government,secondary
Mosman Church of England Preparatory School,MOSMAN,NSW,2088,99,Private,primary
Queenwood Junior School,MOSMAN,NSW,2088,,Private,primary
Middle Harbour Public School,MOSMAN,NSW,2088,,Government,primary
Mosman Public School,MOSMAN,NSW,2088,96,Government,primary
Queenwood,MOSMAN,NSW,2088,99,Private,primary
"Queenwood, Art and Design Campus",MOSMAN,NSW,2088,,Private,primary
Beauty Point Public School,MOSMAN,NSW,2088,,Government,primary
"Queenwood, Art and Design Campus",MOSMAN,NSW,2088,,Private,secondary
Queenwood,MOSMAN,NSW,2088,97,Private,secondary
"Cameragal Montessori School, Neutral Bay Campus",NEUTRAL BAY,NSW,2089,,Private,secondary
"Cameragal Montessori School, Neutral Bay Campus",NEUTRAL BAY,NSW,2089,,Private,primary
Neutral Bay Public School,NEUTRAL BAY,NSW,2089,99,Government,primary
SCECGS Redlands - Murdoch campus,CREMORNE,NSW,2090,,Private,primary
SCECGS Redlands,CREMORNE,NSW,2090,,Private,primary
SCECGS Redlands,CREMORNE,NSW,2090,,Private,secondary
SCECGS Redlands - Murdoch campus,CREMORNE,NSW,2090,,Private,secondary
Seaforth Public School,SEAFORTH,NSW,2092,97,Government,primary
Manly West Public School,BALGOWLAH,NSW,2093,97,Government,primary
Balgowlah Heights Public School,BALGOWLAH,NSW,2093,98,Government,primary
Northern Beaches Secondary College Balgowlah Boys Campus,BALGOWLAH,NSW,2093,95,Government,secondary
Manly Vale Public School,MANLY VALE,NSW,2093,,Government,primary
Northern Beaches Secondary College Mackellar Girls Campus,MANLY VALE,NSW,2093,95,Government,secondary
St Kieran's Catholic Primary School,MANLY VALE,NSW,2093,98,Catholic,primary
St Cecilia's Catholic Primary School,BALGOWLAH,NSW,2093,,Catholic,primary
Farmhouse Montessori School,NORTH BALGOWLAH,NSW,2093,,Private,secondary
Balgowlah North Public School,NORTH BALGOWLAH,NSW,2093,,Government,primary
Farmhouse Montessori School,NORTH BALGOWLAH,NSW,2093,,Private,primary
Royal Far West School,MANLY,NSW,2095,,Government,secondary
Manly Village Public School,MANLY,NSW,2095,,Government,primary
St Paul's Catholic College,MANLY,NSW,2095,,Catholic,secondary
Headland Montessori ELC,MANLY,NSW,2095,,Private,secondary
Headland Montessori ELC,MANLY,NSW,2095,,Private,primary
"Farmhouse Montessori School, North Head",MANLY,NSW,2095,,Private,primary
Stella Maris College Benedict Campus,MANLY,NSW,2095,,Private,secondary
Stella Maris College,MANLY,NSW,2095,92,Private,secondary
Royal Far West School,MANLY,NSW,2095,,Government,primary
St Mary's Catholic Primary School,MANLY,NSW,2095,,Catholic,primary
Harbord Public School,FRESHWATER,NSW,2096,,Government,primary
Northern Beaches Secondary College Freshwater Senior Campus,FRESHWATER,NSW,2096,,Government,secondary
Stewart House School,CURL CURL,NSW,2096,,Government,secondary
Stewart House School,CURL CURL,NSW,2096,,Government,primary
St John the Baptist Catholic Primary School,FRESHWATER,NSW,2096,,Catholic,primary
Pittwater House Schools,COLLAROY,NSW,2097,97,Private,secondary
Wheeler Heights Public School,COLLAROY PLATEAU,NSW,2097,,Government,primary
Collaroy Plateau Public School,COLLAROY PLATEAU,NSW,2097,,Government,primary
Pittwater House Schools,COLLAROY,NSW,2097,97,Private,primary
St Rose Catholic Primary School,COLLAROY PLATEAU,NSW,2097,,Catholic,primary
Dee Why Public School,DEE WHY,NSW,2099,,Government,primary
Curl Curl North Public School,NORTH CURL CURL,NSW,2099,,Government,primary
Fisher Road School,DEE WHY,NSW,2099,,Government,secondary
St Kevin's Catholic Primary School,DEE WHY,NSW,2099,,Catholic,primary
Northern Beaches Secondary College Cromer Campus,CROMER,NSW,2099,,Government,secondary
Cromer Public School,CROMER,NSW,2099,,Government,primary
St Luke's Grammar School,DEE WHY,NSW,2099,97,Private,secondary
"St Lucy's, St John's Narraweena campus",NARRAWEENA,NSW,2099,,Private,primary
St John the Apostle Catholic Primary School,NARRAWEENA,NSW,2099,,Catholic,primary
Narraweena Public School,NARRAWEENA,NSW,2099,,Government,primary
Karuna Montessori School,NARRAWEENA,NSW,2099,,Private,secondary
Karuna Montessori School,NARRAWEENA,NSW,2099,,Private,primary
Northern Beaches Secondary College Manly Campus,NORTH CURL CURL,NSW,2099,PNO,Government,secondary
Fisher Road School,DEE WHY,NSW,2099,,Government,primary
St Luke's Grammar School,DEE WHY,NSW,2099,97,Private,primary
The Beach School,ALLAMBIE HEIGHTS,NSW,2100,,Government,secondary
Brookvale Public School,BROOKVALE,NSW,2100,,Government,primary
Allambie Heights Public School,ALLAMBIE HEIGHTS,NSW,2100,,Government,primary
St Augustine's College Sydney,BROOKVALE,NSW,2100,92,Private,secondary
St Augustine's College Sydney,BROOKVALE,NSW,2100,,Private,primary
Beacon Hill Public School,BEACON HILL,NSW,2100,,Government,primary
Galstaun College,INGLESIDE,NSW,2101,,Private,primary
St Joseph's Catholic Primary School,NARRABEEN,NSW,2101,,Catholic,primary
"St Lucy's, St Joseph's Narrabeen campus",NARRABEEN,NSW,2101,,Private,primary
Galstaun College,INGLESIDE,NSW,2101,91,Private,secondary
Narrabeen North Public School,NORTH NARRABEEN,NSW,2101,,Government,primary
Narrabeen Lakes Public School,NARRABEEN,NSW,2101,,Government,primary
Elanora Heights Public School,ELANORA HEIGHTS,NSW,2101,,Government,primary
Narrabeen Sports High School,NORTH NARRABEEN,NSW,2101,,Government,secondary
Mater Maria Catholic College,WARRIEWOOD,NSW,2102,91,Catholic,secondary
Pittwater High School,MONA VALE,NSW,2103,,Government,secondary
"Aspect Vern Barnett School, Mona Vale",MONA VALE,NSW,2103,,Private,primary
Sacred Heart Catholic Primary School,MONA VALE,NSW,2103,,Catholic,primary
Mona Vale Public School,MONA VALE,NSW,2103,,Government,primary
"St Luke's Grammar School, Bayview Campus",BAYVIEW,NSW,2104,,Private,primary
Newport Public School,NEWPORT,NSW,2106,,Government,primary
Maria Regina Catholic Primary School,AVALON BEACH,NSW,2107,,Catholic,primary
Barrenjoey High School,AVALON BEACH,NSW,2107,,Government,secondary
Avalon Public School,AVALON BEACH,NSW,2107,,Government,primary
Bilgola Plateau Public School,BILGOLA PLATEAU,NSW,2107,97,Government,primary
Marist Sisters' College Woolwich,WOOLWICH,NSW,2110,91,Catholic,secondary
Boronia Park Public School,HUNTERS HILL,NSW,2110,,Government,primary
Hunters Hill Public School,HUNTERS HILL,NSW,2110,97,Government,primary
Hunters Hill High School,HUNTERS HILL,NSW,2110,,Government,secondary
Villa Maria Catholic Primary School,HUNTERS HILL,NSW,2110,97,Catholic,primary
St Joseph's College,HUNTERS HILL,NSW,2110,93,Private,secondary
Giant Steps Sydney,GLADESVILLE,NSW,2111,,Private,secondary
Our Lady Queen of Peace Catholic Primary School,GLADESVILLE,NSW,2111,,Catholic,primary
"SHORE - Sydney Church of England Grammar School, Boat Shed",GLADESVILLE,NSW,2111,,Private,secondary
"The Scots College, Boat Club campus",GLADESVILLE,NSW,2111,,Private,primary
"The Scots College, Boat Club campus",GLADESVILLE,NSW,2111,,Private,secondary
Riverside Girls High School,GLADESVILLE,NSW,2111,95,Government,secondary
Giant Steps Sydney,GLADESVILLE,NSW,2111,,Private,primary
Gladesville Public School,GLADESVILLE,NSW,2111,,Government,primary
Northcross Christian School,RYDE,NSW,2112,100,Private,primary
Smalls Road Public School,RYDE,NSW,2112,,Government,primary
Putney Public School,RYDE,NSW,2112,,Government,primary
Ryde Public School,RYDE,NSW,2112,98,Government,primary
Ryde Secondary College,RYDE,NSW,2112,97,Government,secondary
St Charles Catholic Primary School,RYDE,NSW,2112,,Catholic,primary
Holy Cross College,RYDE,NSW,2112,,Catholic,secondary
Arndell School,NORTH RYDE,NSW,2113,,Government,primary
North Ryde Public School,NORTH RYDE,NSW,2113,97,Government,primary
Field of Mars Environmental Education Centre,EAST RYDE,NSW,2113,,Government,secondary
Field of Mars Environmental Education Centre,EAST RYDE,NSW,2113,,Government,primary
Truscott Street Public School,NORTH RYDE,NSW,2113,,Government,primary
Ryde East Public School,NORTH RYDE,NSW,2113,,Government,primary
The Children's House Montessori,NORTH RYDE,NSW,2113,,Private,secondary
The Children's House Montessori,NORTH RYDE,NSW,2113,,Private,primary
Holy Spirit Catholic Primary School,NORTH RYDE,NSW,2113,,Catholic,primary
Italian Bilingual School,MEADOWBANK,NSW,2114,98,Private,primary
St Michael's Catholic Primary School,MEADOWBANK,NSW,2114,98,Catholic,primary
Marsden High School,MEADOWBANK,NSW,2114,,Government,secondary
Meadowbank Public School,MEADOWBANK,NSW,2114,,Government,primary
Ermington Public School,WEST RYDE,NSW,2114,99,Government,primary
West Ryde Public School,WEST RYDE,NSW,2114,99,Government,primary
Melrose Park Public School,WEST RYDE,NSW,2114,97,Government,primary
Ermington West Public School,ERMINGTON,NSW,2115,,Government,primary
